COMPANY NAME,CITY,STATE,ZIP CODE,STREET ADDRESS CITY,STREET ADDRESS,STREET ADDRESS ZIP,COUNTY,PHONE NUMBER,FAX NUMBER,WEB ADDRESS,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT GENDER,ACTUAL EMPLOYEE SIZE,EMPLOYEE SIZE RANGE,ACTUAL SALES VOLUME,SALES VOLUME RANGE,Industry,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,CREDIT ALPHA SCORE,CREDIT NUMERIC SCORE,HEADQUARTERS/BRANCH,SQUARE FOOTAGE
Benchmark Electronics Inc,Angleton,TX,77515-2599,3000 Technology Dr,Angleton,77515-2599,Brazoria,9.80E+09,9.80E+09,www.bench.com,Fu,Cary T,CEO,Male,6274,5000 to 9999,2.00E+09,Over $1 Billion,Manufacturing,367201,Printed & Etched Circuits-Mfrs,353105,Contractors-Equipment-Manufacturers,367203,Circuit Board Assembly & Repairs (Mfrs),A+,100,Headquarter,"40,000+"
Sealy Corp,High Point,NC,27261-2806,Trinity,1 Office Parkway Rd,27370-9449,Randolph,3.37E+09,3.37E+09,www.sealy.com,Mcilquham,David J,CEO,Male,6208,5000 to 9999,1.47E+09,Over $1 Billion,Manufacturing,251501,Mattresses-Manufacturers,251501,Mattresses-Manufacturers,384104,Physicians & Surgeons Equip & Supls-Mfrs,A+,100,Headquarter,"40,000+"
Basell North America Inc,Elkton,MD,21921-3920,Elkton,912 Appleton Rd,21921-3920,Cecil,4.11E+09,4.11E+09,www.basell.com,Platz,Charles,CEO,Male,6200,5000 to 9999,0,,Manufacturing,282101,Plastics-Raw Mtrls/Powder/Resin-Mfrs,282101,Plastics-Raw Mtrls/Powder/Resin-Mfrs,384104,Physicians & Surgeons Equip & Supls-Mfrs,B,83,Headquarter,"40,000+"
Coca-Cola Bottling Co Cnsldtd,Charlotte,NC,28231-1487,Charlotte,4100 Coca Cola Plz,28211-3588,Mecklenburg,7.05E+09,7.05E+09,www.cocacola.com,Harrison III,J Frank,CEO,Male,6200,5000 to 9999,1.38E+09,Over $1 Billion,Manufacturing,208601,Bottlers,208601,Bottlers,,,A+,100,Headquarter,"40,000+"
Journal Register Co,Trenton,NJ,08608-1220,Trenton,50 W State St # 12,08608-1220,Mercer,6.09E+09,6.09E+09,www.journalregister.com,Jelenic,Robert M,CEO,Male,6200,5000 to 9999,4.76E+08,$100 - 500 Million,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),509905,Importers,A+,100,Headquarter,"2,500 - 9,999"
Sigma-Aldrich Corp,St Louis,MO,63178-4508,St Louis,3050 Spruce St,63103-2530,St Louis City,3.15E+09,3.14E+09,www.sigmaaldrich.com,Nagarkatti,Jai P,CEO,Male,6140,5000 to 9999,1.41E+09,Over $1 Billion,Manufacturing,286998,Industrial Organic Chemicals Nec (Mfrs),281998,Industrial Inorganic Chmcls Nec (Mfrs),283398,Medicinal Chem/Botanical Prods (Mfrs),A+,100,Headquarter,"40,000+"
Dreyer's Grand Ice Cream Hldgs,Oakland,CA,94618-1391,Oakland,5929 College Ave,94618-1391,Alameda,5.11E+09,5.11E+09,www.dreyers.com,Rogers,T Gary,CEO,Male,6100,5000 to 9999,1.59E+09,Over $1 Billion,Manufacturing,202498,Ice Cream & Frozen Desserts (Mfrs),202498,Ice Cream & Frozen Desserts (Mfrs),509901,Exporters,A+,100,Subsidiary,"40,000+"
MSX Intl Inc,Southfield,MI,48086-5027,Warren,1950 Concept Dr,48091-1385,Macomb,5.86E+09,2.49E+09,www.msxinternational.org,Netolicka,Robert,CEO,Male,6100,5000 to 9999,9.29E+08,$500 Million - $1 Billion,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,371401,Automobile Parts & Supplies-Mfrs,874213,Marketing Programs & Services,A+,96,Headquarter,"40,000+"
Atrium Companies Inc,Dallas,TX,75222-6957,3890 W Northwest Hwy # 500,Dallas,75220-8110,Dallas,2.15E+09,2.15E+09,www.atriumcompanies.com,Hull,Jeff L,CEO,Male,6100,5000 to 9999,5.98E+08,$500 Million - $1 Billion,Manufacturing,344202,Windows-Manufacturers,344202,Windows-Manufacturers,521107,Windows,A+,100,Headquarter,"40,000+"
Esterline Technologies Corp,Bellevue,WA,98004-5500,Bellevue,500 108th Ave NE # 1500,98004-5500,King,4.25E+09,4.25E+09,www.esterline.com,Cremin,Robert W,CEO,Male,6100,5000 to 9999,6.28E+08,$500 Million - $1 Billion,Manufacturing,382398,Industrial Measuring/Cntrl Instr (Mfrs),354107,Machine Tools-Manufacturers,354118,Drilling & Boring Equip & Supls-Mfrs,A+,100,Headquarter,"10,000 - 39,999"
JDS Uniphase Corp,San Jose,CA,95131-1873,San Jose,1768 Automation Pkwy,95131-1873,Santa Clara,4.09E+09,4.09E+09,www.jdsu.com,Kennedy,Kevin J,CEO,Male,6041,5000 to 9999,6.36E+08,$500 Million - $1 Billion,Manufacturing,335701,Fiber Optics-Equipment & Systems (Mfrs),335701,Fiber Optics-Equipment & Systems (Mfrs),369905,Electrical Products-Manufacturers,A+,100,Headquarter,"40,000+"
Magna Donnelly,Holland,MI,49423-2813,Holland,49 W 3rd St,49423-2813,Ottawa,6.17E+09,6.17E+09,www.donnelly.com,Mazzorin,Carlos E,CEO,Male,6001,5000 to 9999,0,,Manufacturing,323104,Mirrors-Manufacturers,323104,Mirrors-Manufacturers,371401,Automobile Parts & Supplies-Mfrs,A+,97,Subsidiary,"40,000+"
Community Newspaper Holdings,Birmingham,AL,35243-8301,Birmingham,3500 Colonnade Pkwy # 600,35243-8301,Jefferson,2.05E+09,2.05E+09,www.cnhi.com,Barrett,Donna,CEO,Female,6000,5000 to 9999,70000000,$50 - 100 Million,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),,,A+,96,Headquarter,"40,000+"
Motion Industries Inc,Birmingham,AL,35201-1477,Birmingham,1605 Alton Rd,35210-3770,Jefferson,2.06E+09,2.06E+09,www.motionindustries.com,Stevens,William J,CEO,Male,6000,5000 to 9999,1.69E+09,Over $1 Billion,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,371401,Automobile Parts & Supplies-Mfrs,501313,Automobile Parts & Supplies-Wholesale,A+,100,Subsidiary,"40,000+"
International Rectifier Corp,El Segundo,CA,90245-4316,El Segundo,233 Kansas St,90245-4316,Los Angeles,3.10E+09,3.10E+09,www.irf.com,Lidow,Alexander,CEO,Male,6000,5000 to 9999,1.17E+09,Over $1 Billion,Manufacturing,367498,Semiconductors & Related Devices (Mfrs),362901,Rectifiers-Electric-Manufacturers,481302,Telecommunications Services,A+,100,Headquarter,"40,000+"
Artesyn Technologies Inc,Boca Raton,FL,33434-4105,Boca Raton,7900 Glades Rd # 500,33434-4105,Palm Beach,5.61E+09,5.61E+09,www.artesyn.com,O'Donnell,Joseph M,CEO,Male,6000,5000 to 9999,4.25E+08,$100 - 500 Million,Manufacturing,367906,Electronic Power Supplies-Manufacturers,357101,Computers-Electronic-Manufacturers,362998,Electrical Indstrl Apparatus Nec (Mfrs),A+,100,Subsidiary,"10,000 - 39,999"
Morris Communications Co LLC,Augusta,GA,30903-0936,Augusta,725 Broad St,30901-1336,Richmond,7.07E+09,7.07E+09,www.morris.com,Morris Iii,William S,CEO,Male,6000,5000 to 9999,0,,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),489903,Communications,A+,100,Headquarter,"40,000+"
Dade Behring Holdings Inc,Deerfield,IL,60015-3900,Deerfield,1717 Deerfield Rd,60015-3900,Lake,8.47E+09,8.47E+09,www.dadebehring.com,Reid-Anderson,James W P,CEO,Male,6000,5000 to 9999,1.56E+09,Over $1 Billion,Manufacturing,382101,Laboratory Equipment & Supplies-Mfrs,283598,In-Vitro/In-Vivo Diagnostic Sbstnc (Mfr),,,A+,100,Headquarter,"2,500 - 9,999"
Ford Kentucky Truck Plant,Louisville,KY,40232-2310,Louisville,3001 Chamberlain Ln,40241-1905,Jefferson,5.02E+09,5.02E+09,www.ford.com,Laden,Gary,Plant Mgr,Male,6000,5000 to 9999,1.63E+09,Over $1 Billion,Manufacturers,371398,Truck & Bus Bodies (Manufacturers),371398,Truck & Bus Bodies (Manufacturers),501214,Truck-Distributors,A+,100,Single Loc,"40,000+"
Northrop Grumman Ship Systems,New Orleans,LA,70150-0280,Avondale,5100 River Rd,70094-2706,Jefferson,5.04E+09,5.04E+09,www.avondale.com,Yount,George,VP,Male,6000,5000 to 9999,8.52E+08,$500 Million - $1 Billion,Manufacturers,373101,Ship Builders & Repairers,162903,Marine Contractors & Designers,329598,Minerals/Earths-Ground Or Treated (Mfrs),A+,100,Branch,"40,000+"
Freudenberg-Nok,Plymouth,MI,48170-2460,Plymouth,47690 E Anchor Ct,48170-2460,Wayne,7.34E+09,7.34E+09,www.fluidseals.com,Molchan,George E,IT Exec,Male,6000,5000 to 9999,8.58E+08,$500 Million - $1 Billion,Manufacturing,306916,Rubber Products-Retail,306916,Rubber Products-Retail,306198,Molded Extruded/Lathe Cut Rbbr Gds (Mfr),A+,100,Headquarter,"40,000+"
Ralcorp Holdings Inc,St Louis,MO,63188-0618,St Louis,800 Market St,63101-2506,St Louis City,3.15E+09,3.15E+09,www.ralcorp.com,Skarie,David P,CEO,Male,6000,5000 to 9999,1.56E+09,Over $1 Billion,Manufacturing,204301,Cereals (Manufacturers),204301,Cereals (Manufacturers),205201,Cookies & Crackers-Manufacturers,A+,100,Headquarter,"40,000+"
Gerber Products Co,Parsippany,NJ,07054-2173,Parsippany,200 Kimball Dr,07054-2173,Morris,9.74E+09,9.74E+09,www.gerber.com,Schmidt,Kurt,CEO,Male,6000,5000 to 9999,0,,Manufacturing,203298,Canned Specialties (Manufacturers),203298,Canned Specialties (Manufacturers),204301,Cereals (Manufacturers),A+,100,Subsidiary,"40,000+"
Stoneridge Inc,Warren,OH,44484-5598,Warren,9400 E Market St,44484-5598,Trumbull,3.31E+09,3.31E+09,www.stoneridge.com,Corey,John C,CEO,Male,6000,5000 to 9999,6.82E+08,$500 Million - $1 Billion,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,371401,Automobile Parts & Supplies-Mfrs,,,A+,100,Headquarter,"10,000 - 39,999"
Valentine Research Inc,Cincinnati,OH,45242-4710,Cincinnati,10280 Alliance Rd,45242-4710,Hamilton,5.14E+09,5.14E+09,www.valentine1.com,Valentine,Mike,President,Male,6000,5000 to 9999,1.97E+09,Over $1 Billion,Manufacturing,381205,Radar-Manufacturers & Service,381205,Radar-Manufacturers & Service,553138,Radar Detectors-Dealers,A+,100,Single Loc,"40,000+"
Cooper Tools,Lexington,SC,29071-1410,Lexington,670 Industrial Dr,29072-3763,Lexington,8.03E+09,8.03E+09,www.coopertools.com,Held,A Peter,CEO,Male,6000,5000 to 9999,0,,Manufacturing,342302,Tools-Manufacturers,342302,Tools-Manufacturers,353698,Overhead Traveling Cranes Hoists (Mfrs),A+,100,Subsidiary,"40,000+"
AFG Industries Inc,Kingsport,TN,37662-0929,Kingsport,1400 Lincoln St,37660-5174,Sullivan,4.23E+09,4.23E+09,www.afg.com,Litzinger,John,CEO,Male,6000,5000 to 9999,1.00E+09,Over $1 Billion,Manufacturing,321101,Glass-Manufacturers,321101,Glass-Manufacturers,323198,Glass Prod Made-Purchased Glass (Mfrs),A+,100,Subsidiary,"40,000+"
Nextiraone LLC,Houston,TX,77056-6100,2800 Post Oak Blvd,Houston,77056-6100,Harris,7.13E+09,7.14E+09,www.nextiraone.com,Booth,Dale,CEO,Male,6000,5000 to 9999,0,,Manufacturing,366998,Communications Equipment Nec (Mfrs),366998,Communications Equipment Nec (Mfrs),481301,Data Communication Service,A+,96,Subsidiary,"40,000+"
Ashley Furniture Industries,Arcadia,WI,54612-1200,Arcadia,1 Ashley Way,54612-1200,Trempealeau,6.08E+09,6.08E+09,www.ashleydirect.com,Wanek,Ronald G,CEO,Male,6000,5000 to 9999,0,,Manufacturing,259901,Furniture-Manufacturers,251198,Wood-Household Furn-Ex Upholstered (Mfr),509905,Importers,A+,100,Headquarter,"40,000+"
Plexus Corp,Neenah,WI,54957-0156,Neenah,55 Jewelers Park Dr,54956-3704,Winnebago,9.21E+09,9.21E+09,www.plexus.com,Foate,Dean A,CEO,Male,6000,5000 to 9999,1.04E+09,Over $1 Billion,Manufacturing,367901,Electronic Equipment & Supplies-Mfrs,367201,Printed & Etched Circuits-Mfrs,382598,Instrs-Measuring/Testing Elec (Mfrs),A+,100,Headquarter,"40,000+"
International Flavors & Frgncs,New York,NY,10019-2960,New York,521 W 57th St,10019-2960,New York,2.13E+09,2.13E+09,www.iff.com,Goldstein,Richard A,CEO,Male,5960,5000 to 9999,1.99E+09,Over $1 Billion,Manufacturing,286901,Flavoring Extracts-Mfrs Supls (Mfrs),208701,Flavoring Extracts-Manufacturers,284498,Perfumes Cosmetics/Toilet Preps (Mfrs),A+,100,Headquarter,"40,000+"
Monaco Coach Corp,Coburg,OR,97408-9305,Coburg,91320 Coburg Industrial Way,97408-9305,Lane,5.42E+09,5.41E+09,www.monacocoach.com,Toolson,Kay L,CEO,Male,5934,5000 to 9999,1.40E+09,Over $1 Billion,Manufacturing,371601,Motor Homes-Manufacturers,371101,Recreational Vehicles & Campers-Mfrs,379202,Trailers-Camping & Travel-Manufacturers,A+,100,Headquarter,"40,000+"
American Woodmark Corp,Winchester,VA,22604-8090,Winchester,3102 Shawnee Dr,22601-4208,Winchester,5.41E+09,5.41E+09,www.woodmark.com,Gosa,James J,CEO,Male,5903,5000 to 9999,7.77E+08,$500 Million - $1 Billion,Manufacturing,243401,Cabinets-Manufacturers,243401,Cabinets-Manufacturers,,,A+,100,Headquarter,"40,000+"
Siemens Communications,Boca Raton,FL,33487-3527,Boca Raton,900 Broken Sound Pkwy NW,33487-3527,Palm Beach,5.62E+09,,www.icn.siemens.com,Mattes,Andy,CEO,Male,5900,5000 to 9999,0,,Manufacturing,366102,Telephone Equipment & Systems-Mfrs,173113,Telecommunications Equipment,509905,Importers,A+,100,Subsidiary,"40,000+"
Dee Zee Inc,Des Moines,IA,50316-0090,Des Moines,1572 NE 58th Ave,50313-1622,Polk,5.15E+09,5.15E+09,www.deezee.com,Shivers,Ron,President,Male,5900,5000 to 9999,0,,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,371401,Automobile Parts & Supplies-Mfrs,501313,Automobile Parts & Supplies-Wholesale,A+,100,Subsidiary,"40,000+"
Hasbro Inc,Pawtucket,RI,02862-1059,Pawtucket,1027 Newport Ave,02861-2500,Providence,4.01E+09,4.02E+09,www.hasbro.com,Verrecchia,Alfred J,CEO,Male,5900,5000 to 9999,3.09E+09,Over $1 Billion,Manufacturing,394402,Toys-Manufacturers,384104,Physicians & Surgeons Equip & Supls-Mfrs,394406,Games & Game Supplies-Manufacturers,A+,100,Headquarter,"40,000+"
Henkel Loctite Corp,Rocky Hill,CT,06067-3910,Rocky Hill,1001 Trout Brook Xing,06067-3910,Hartford,8.61E+09,8.61E+09,www.loctite.com,Colquitt,Julian,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,289101,Adhesives & Glues-Manufacturers,289101,Adhesives & Glues-Manufacturers,347904,Coatings-Protective-Manufacturers,A+,100,Subsidiary,"40,000+"
Honeywell Consumer Products,Danbury,CT,06810-5100,Danbury,39 Old Ridgebury Rd # 8,06810-5100,Fairfield,2.04E+09,2.04E+09,www.prestone.com,Lundstedt,David,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,289902,Anti-Freeze Compounds-Manufacturers,289902,Anti-Freeze Compounds-Manufacturers,501313,Automobile Parts & Supplies-Wholesale,A+,100,Subsidiary,"40,000+"
Gerdau Ameristeel CORP,Tampa,FL,33631-3328,Tampa,4221 W Boy Scout Blvd # 600,33607-5760,Hillsborough,8.13E+09,8.13E+09,www.ameristeel.com,Casey,Phillip E,CEO,Male,5000,5000 to 9999,6.47E+08,$500 Million - $1 Billion,Manufacturing,344106,Steel-Structural (Manufacturers),331201,Steel Mills,331598,Steel-Wiredrawing/Stl Nails/Spikes (Mfr),A+,100,Headquarter,"40,000+"
Advance Transformer Co,Rosemont,IL,60018-6412,Rosemont,10275 W Higgins Rd,60018-6412,Cook,8.47E+09,8.47E+09,www.advancetransformer.com,Dundon,Brian,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,361298,Power Distr/Specialty Transformer (Mfrs),361298,Power Distr/Specialty Transformer (Mfrs),367798,Electronic Coil & Transformers (Mfrs),A+,100,Subsidiary,"40,000+"
Mead Johnson Nutritionals,Evansville,IN,47721-0001,Evansville,2400 W Lloyd Expy,47721-0001,Vanderburgh,8.12E+09,8.12E+09,www.meadjohnson.com,Golsby,Steve,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,202398,Dry Condensed/Evprtd Dairy Prod (Mfr),202398,Dry Condensed/Evprtd Dairy Prod (Mfr),209998,Food Preparations Nec (Manufacturers),A+,100,Subsidiary,"40,000+"
Allison Transmission,Indianapolis,IN,46222-5200,Indianapolis,4700 W 10th St,46222-5200,Marion,3.17E+09,,www.allisontransmission.com,Dewey,Lawrence E,President,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,371414,Transmissions-Automobile-Manufacturers,371414,Transmissions-Automobile-Manufacturers,874213,Marketing Programs & Services,A+,100,Subsidiary,"40,000+"
Dart Container Corp,Mason,MI,48854-9547,Mason,500 Hogsback Rd,48854-9547,Ingham,5.18E+09,5.18E+09,www.dartbiz.com,Dart,Kenneth B,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,308902,Plastics & Plastic Products (Mfrs),308598,Plastic Bottles (Manufacturers),509905,Importers,A+,100,Headquarter,"40,000+"
Mc Quay International,Minneapolis,MN,55440-1551,Plymouth,13600 Industrial Park Blvd,55441-3743,Hennepin,7.64E+09,7.64E+09,www.mcquaybiz.com,Roberts,Eric R,President,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,358598,Air Conditioning/Htg/Refrig Equip (Mfrs),343303,Heating Equipment-Manufacturers,356401,Fans-Industrial & Commercial-Mfrs,A+,100,Subsidiary,"40,000+"
Genmar Holdings Inc,Minneapolis,MN,55402-5337,Minneapolis,80 S 8th St # 2900,55402-5337,Hennepin,6.12E+09,6.12E+09,www.genmar.com,Jacobs,Irwin L,CEO,Male,5000,5000 to 9999,1.20E+09,Over $1 Billion,Manufacturing,373201,Boats-Manufacturers,138999,Oil & Gas-Field Services Nec,308902,Plastics & Plastic Products (Mfrs),A+,100,Headquarter,"10,000 - 39,999"
Ford Motor Co Assembly Plant,Kansas City,MO,64119-0009,Liberty,8121 NE US Highway 69,64068-8906,Clay,8.16E+09,8.16E+09,www.ford.com,Savchetz,David,Plant Mgr,Male,5000,5000 to 9999,8.04E+09,Over $1 Billion,Manufacturing,371102,Automobile-Manufacturers,371102,Automobile-Manufacturers,501205,Automobile Dealers-Used Cars-Wholesale,A+,100,Branch,"40,000+"
Perry Manufacturing Co,Mt Airy,NC,27030-1027,Mt Airy,100 Woltz St,27030-7832,Surry,3.37E+09,3.37E+09,www.perrymfg.com,Woltz Jr,William K,CEO,Male,5000,5000 to 9999,1.20E+08,$100 - 500 Million,Manufacturing,233103,Women's Apparel-Manufacturers,225398,Knit Outerwear Mills,233501,Dresses-Manufacturers,A+,100,Headquarter,"40,000+"
Stock Building Supply,Raleigh,NC,27675-0068,Raleigh,8020 Arcove Corp Dr,27617 0000,Wake,9.19E+09,9.20E+09,www.stocksupply.com,Hord,Fenton N,CEO,Male,5000,5000 to 9999,2.70E+09,Over $1 Billion,Manufacturing,243104,Doors-Manufacturers,243104,Doors-Manufacturers,521107,Windows,A+,100,Headquarter,"40,000+"
Pearson Education,Upper Saddle Rvr,NJ,07458-1813,Upper Saddle Rvr,1 Lake St,07458-1813,Bergen,2.01E+09,2.01E+09,www.prenhall.com,,,,,5000,5000 to 9999,0.00E+00,,Manufacturing,273101,Publishers-Book,273101,Publishers-Book,874213,Marketing Programs & Services,A+,100,Subsidiary,"40,000+"
General Cigar Holdings Inc,New York,NY,10016-8818,New York,387 Park Ave S # 6,10016-8818,New York,2.12E+09,2.13E+09,www.cigarworld.com,Cullman Jr,Edgar M,CEO,Male,5000,5000 to 9999,1.82E+08,$100 - 500 Million,Manufacturing,212101,Cigar Cigarette & Tobacco-Manufacturers,212101,Cigar Cigarette & Tobacco-Manufacturers,874213,Marketing Programs & Services,A+,98,Subsidiary,"10,000 - 39,999"
Hearst Magazines Div,New York,NY,10105-4200,New York,1345 6th Ave,10105-4200,New York,2.13E+09,2.12E+09,www.hearstcorp.com,Black,Cathleen P,President,Female,5000,5000 to 9999,0.00E+00,,Manufacturing,272101,Publishers-Magazine,272101,Publishers-Magazine,874213,Marketing Programs & Services,A+,100,Subsidiary,"2,500 - 9,999"
Hachette Book Group USA,New York,NY,10020-1300,New York,1271 Avenue Of The Americas,10020-1300,New York,2.13E+09,2.13E+09,www.twbookmark.com,Kirshbaum,Laurence J,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,273101,Publishers-Book,273101,Publishers-Book,509905,Importers,A,91,Subsidiary,"2,500 - 9,999"
Invensys Climate Controls,Plain City,OH,43064-9667,Plain City,8115 US Highway 42 N,43064-9667,Madison,6.15E+09,6.15E+09,www.invensys.com,,,,,5000,5000 to 9999,0.00E+00,,Manufacturing,367901,Electronic Equipment & Supplies-Mfrs,362598,Relays & Industrial Controls (Mfrs),363198,Household Cooking Equipment (Mfrs),A+,100,Subsidiary,"40,000+"
Sea Ray Boats Inc,Knoxville,TN,37914-6492,Knoxville,2600 Sea Ray Dr # 1,37914-6492,Knox,8.66E+09,8.66E+09,www.searay.com,Trudell,Cynthia,CEO,Female,5000,5000 to 9999,0.00E+00,,Manufacturing,373201,Boats-Manufacturers,373201,Boats-Manufacturers,,,A+,100,Subsidiary,"40,000+"
Landmark Communications Inc,Norfolk,VA,23501-0449,Norfolk,150 W Brambleton Ave,23510-2018,Norfolk City,7.57E+09,7.57E+09,www.lcimedia.com,Batten Jr,Frank,CEO,Male,5000,5000 to 9999,7.50E+08,$500 Million - $1 Billion,Manufacturing,271101,Newspapers (Publishers),271101,Newspapers (Publishers),275298,Commercial Printing-Lithographic,A+,100,Headquarter,"40,000+"
National Envelope Corp,Long Island City,NY,11101-3499,Long Island City,2910 Hunters Point Ave,11101-3499,Queens,7.19E+09,7.18E+09,www.nationalenvelope.com,Moser,Nathan,CEO,Male,5000,5000 to 9999,0.00E+00,,Manufacturing,267701,Envelopes-Manufacturers,267701,Envelopes-Manufacturers,511101,Paper Products (Wholesale),A+,100,Headquarter,"40,000+"
Noranda Aluminum Inc,Franklin,TN,37067-7202,Franklin,801 Crescent Centre Dr # 600,37067-7202,Williamson,6.16E+09,6.16E+09,www.noranda.com,Brooks,William H,President,Male,4995,1000 to 4999,9.23E+08,$500 Million - $1 Billion,Manufacturing,333498,Primary Production Of Aluminum (Mfrs),333498,Primary Production Of Aluminum (Mfrs),,,A+,100,Headquarter,"10,000 - 39,999"
Kinetic Concepts Inc,San Antonio,TX,78230-4763,8023 Vantage Dr,San Antonio,78230-4763,Bexar,2.11E+09,2.10E+09,www.kci1.com,Ware,Dennert O,CEO,Male,4980,1000 to 4999,9.93E+08,$500 Million - $1 Billion,Manufacturing,384104,Physicians & Surgeons Equip & Supls-Mfrs,251502,Bedding-Manufacturers,504712,Hospital Equipment & Supplies (Whol),A+,100,Headquarter,"40,000+"
Sunrise Medical Inc,Carlsbad,CA,92008-7220,Carlsbad,2382 Faraday Ave # 200,92008-7220,San Diego,7.61E+09,7.61E+09,www.sunrisemedical.com,Hammes,Michael N,CEO,Male,4975,1000 to 4999,6.44E+08,$500 Million - $1 Billion,Manufacturing,384213,Wheel Chairs-Manufacturers,259998,Furniture & Fixtures Nec (Mfrs),384104,Physicians & Surgeons Equip & Supls-Mfrs,A+,100,Headquarter,"10,000 - 39,999"
Hercules Inc,Wilmington,DE,19801-1183,Wilmington,1313 N Market St,19801-1183,New Castle,3.03E+09,3.03E+09,www.herc.com,Rogerson,Craig A,CEO,Male,4950,1000 to 4999,2.00E+09,Over $1 Billion,Manufacturing,289905,Chemicals-Manufacturers,209998,Food Preparations Nec (Manufacturers),228401,Notions-Manufacturers,A+,100,Headquarter,"40,000+"
CTS Corp,Elkhart,IN,46514-1899,Elkhart,905 N West Blvd,46514-1899,Elkhart,5.74E+09,5.74E+09,www.ctscorp.com,Schwanz,Donald K,CEO,Male,4902,1000 to 4999,6.17E+08,$500 Million - $1 Billion,Manufacturing,367901,Electronic Equipment & Supplies-Mfrs,254201,Office & Store Fixtures-Ex Wood (Mfrs),308902,Plastics & Plastic Products (Mfrs),A+,100,Headquarter,"40,000+"
John H Harland Co,Atlanta,GA,30348-5250,Decatur,2939 Miller Rd,30035-4038,De Kalb,7.71E+09,7.71E+09,www.harland.com,Tuff,Timothy C,CEO,Male,4900,1000 to 4999,7.87E+08,$500 Million - $1 Billion,Manufacturing,275202,Printers,275202,Printers,275998,Commercial Printing Nec,A+,100,Headquarter,"40,000+"
International Game Technology,Reno,NV,89510-0580,Reno,9295 Prototype Dr,89521-8986,Washoe,7.75E+09,7.75E+09,www.igt.com,Matthews,Thomas J,CEO,Male,4900,1000 to 4999,2.48E+09,Over $1 Billion,Manufacturing,399955,Gaming Equipment & Supplies-Mfrs,394406,Games & Game Supplies-Manufacturers,509204,Games & Game Supplies-Wholesale,A+,100,Headquarter,"40,000+"
Regal-Beloit Corp,Beloit,WI,53511-6254,Beloit,200 State St,53511-6254,Rock,6.08E+09,6.08E+09,www.regal-beloit.com,Packard,James L,CEO,Male,4850,1000 to 4999,7.57E+08,$500 Million - $1 Billion,Manufacturing,362198,Motor & Generator-Manufacturers,354107,Machine Tools-Manufacturers,354598,Cutting Tools/Acces/Measuring Dvcs (Mfr),A+,100,Headquarter,"10,000 - 39,999"
Invitrogen Corp,Carlsbad,CA,92008,Carlsbad,1600 Faraday Ave,92008-7313,San Diego,7.61E+09,7.61E+09,www.invitrogen.com,Lucier,Gregory T,CEO,Male,4800,1000 to 4999,1.20E+09,Over $1 Billion,Manufacturing,283601,Biological Products (Manufacturers),283601,Biological Products (Manufacturers),384104,Physicians & Surgeons Equip & Supls-Mfrs,A+,100,Headquarter,"40,000+"
Accuride Corp,Evansville,IN,47716-0600,Evansville,7140 Office Cir,47715-8235,Vanderburgh,8.13E+09,8.13E+09,www.accuridecorp.com,Keating,Terrence J,CEO,Male,4800,1000 to 4999,4.94E+08,$100 - 500 Million,Manufacturing,371401,Automobile Parts & Supplies-Mfrs,371401,Automobile Parts & Supplies-Mfrs,874213,Marketing Programs & Services,A+,100,Subsidiary,"2,500 - 9,999"
Millipore Corp,Billerica,MA,01821-3405,Billerica,290 Concord Rd,01821-3405,Middlesex,9.79E+09,,www.millipore.com,Madaus,Martin D,CEO,Male,4800,1000 to 4999,9.91E+08,$500 Million - $1 Billion,Manufacturing,382698,Laboratory Analytical Instruments (Mfrs),308902,Plastics & Plastic Products (Mfrs),356998,General Ind Machinery/Equip Nec (Mfrs),A+,100,Headquarter,"40,000+"
Chrysler Motors,Fenton,MO,63026-1907,Fenton,1001 N Highway Dr,63026-1907,St Louis,6.36E+09,6.36E+09,www.daimlerchrysler.com,Wolf,William,Plant Mgr,Male,4800,1000 to 4999,1.96E+09,Over $1 Billion,Manufacturing,371602,Van Conversions-Manufacturers,371602,Van Conversions-Manufacturers,501208,Automobile & Truck Brokers,A+,100,Branch,"40,000+"
